node_id,label,source_file,line,file_type,unique_degree,classification,evidence,confidence,recommended_action
eslintrc,.eslintrc.json,.eslintrc.json,L1,code,1,test/dev utility or config,"CI, migration, test, or configuration entry point.",Strong evidence,Check package scripts/CI invocation first.
ref_next_core_web_vitals,next/core-web-vitals,.eslintrc.json,L2,concept,1,test/dev utility or config,"CI, migration, test, or configuration entry point.",Strong evidence,Check package scripts/CI invocation first.
app_slug_page_launchutilityroute,LaunchUtilityRoute(),app/[slug]/page.tsx,L18,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_slug_page_generatestaticparams,generateStaticParams(),app/[slug]/page.tsx,L7,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_about_page_aboutpage,AboutPage(),app/about/page.tsx,L18,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_account_page_metadata,metadata,app/account/page.tsx,L7,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_admin_module_page_adminmoduleprops,AdminModuleProps,app/admin/[module]/page.tsx,L12,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_admin_layout_adminlayout,AdminLayout(),app/admin/layout.tsx,L16,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_admin_layout_metadata,metadata,app/admin/layout.tsx,L3,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_api_auth_cognito_resend_confirmation_route_input,input,app/api/auth/cognito/resend-confirmation/route.ts,L7,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_api_auth_cognito_route_input,input,app/api/auth/cognito/route.ts,L9,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_api_auth_cognito_route_sessioncookieoptions,sessionCookieOptions,app/api/auth/cognito/route.ts,L28,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_api_customer_saved_route_get,GET(),app/api/customer/saved/route.ts,L13,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_api_newsletter_route_post,POST(),app/api/newsletter/route.ts,L6,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_api_newsletter_route,route.ts,app/api/newsletter/route.ts,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_cart_page_cartroute,CartRoute(),app/cart/page.tsx,L7,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_cart_page_metadata,metadata,app/cart/page.tsx,L5,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_contact_page_contactpage,ContactPage(),app/contact/page.tsx,L15,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_contact_page_metadata,metadata,app/contact/page.tsx,L9,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_email_verified_page_emailverifiedpage,EmailVerifiedPage(),app/email-verified/page.tsx,L8,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_email_verified_page_metadata,metadata,app/email-verified/page.tsx,L6,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_error_errorpage,ErrorPage(),app/error.tsx,L5,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_forgot_password_page_forgotpasswordpage,ForgotPasswordPage(),app/forgot-password/page.tsx,L8,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_forgot_password_page_metadata,metadata,app/forgot-password/page.tsx,L6,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_journal_social_cocreation_hub_page_socialcocreationhubpage,SocialCocreationHubPage(),app/journal/social-cocreation-hub/page.tsx,L6,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_journal_social_cocreation_hub_page_metadata,metadata,app/journal/social-cocreation-hub/page.tsx,L5,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_layout_instrumentserif,instrumentSerif,app/layout.tsx,L40,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_layout_metadata,metadata,app/layout.tsx,L52,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_layout_roboto,roboto,app/layout.tsx,L27,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_layout_viewport,viewport,app/layout.tsx,L105,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_loading_loading,Loading(),app/loading.tsx,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_loading,loading.tsx,app/loading.tsx,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_login_page_metadata,metadata,app/login/page.tsx,L9,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_not_found_notfound,NotFound(),app/not-found.tsx,L4,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_not_found,not-found.tsx,app/not-found.tsx,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_offline_page_offlinepage,OfflinePage(),app/offline/page.tsx,L6,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_offline_page_metadata,metadata,app/offline/page.tsx,L4,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_opengraph_image_image,Image(),app/opengraph-image.tsx,L10,code,1,indirectly referenced,Repository search finds references beyond AST edges.,Strong evidence,Search dynamic imports and runtime strings first.
app_opengraph_image_size,size,app/opengraph-image.tsx,L4,code,1,indirectly referenced,Repository search finds references beyond AST edges.,Strong evidence,Search dynamic imports and runtime strings first.
app_orders_page_metadata,metadata,app/orders/page.tsx,L7,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_products_page_productsredirectpage,ProductsRedirectPage(),app/products/page.tsx,L3,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_products_page,page.tsx,app/products/page.tsx,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_profile_page_field,Field(),app/profile/page.tsx,L45,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_profile_page_metadata,metadata,app/profile/page.tsx,L11,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_register_page_metadata,metadata,app/register/page.tsx,L9,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_reset_password_page_resetpasswordpage,ResetPasswordPage(),app/reset-password/page.tsx,L9,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_reset_password_page_metadata,metadata,app/reset-password/page.tsx,L7,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_robots_robots,robots(),app/robots.ts,L5,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_robots,robots.ts,app/robots.ts,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_saved_recipes_page_metadata,metadata,app/saved-recipes/page.tsx,L9,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_shop_slug_page_productpageprops,ProductPageProps,app/shop/[slug]/page.tsx,L14,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_shop_slug_page_generatestaticparams,generateStaticParams(),app/shop/[slug]/page.tsx,L18,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_sign_in_page_legacysigninpage,LegacySignInPage(),app/sign-in/page.tsx,L3,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_sign_in_page,page.tsx,app/sign-in/page.tsx,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_sign_up_page_legacysignuppage,LegacySignUpPage(),app/sign-up/page.tsx,L3,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_sign_up_page,page.tsx,app/sign-up/page.tsx,L1,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_sitemap_routes,routes,app/sitemap.ts,L6,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_status_state_page_statuspage,StatusPage(),app/status/[state]/page.tsx,L20,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_status_state_page_generatestaticparams,generateStaticParams(),app/status/[state]/page.tsx,L18,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_status_state_page_metadata,metadata,app/status/[state]/page.tsx,L17,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_status_state_page_states,states,app/status/[state]/page.tsx,L5,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_sustainability_page_sustainabilitypage,SustainabilityPage(),app/sustainability/page.tsx,L12,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_template_template,Template(),app/template.tsx,L5,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_verify_email_page_metadata,metadata,app/verify-email/page.tsx,L8,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
app_wishlist_page_metadata,metadata,app/wishlist/page.tsx,L10,code,1,framework convention,Next.js discovers route/layout conventions outside imports.,Confirmed,Keep; verify route reachability with HTTP/Next build.
backend_app_init_rationale_1,Backend application package for .CO.,backend/app/__init__.py,L1,rationale,1,manual review,Weak connectivity is insufficient to establish non-use.,Unknown,Inspect source and route behavior.
